titulo,ano,paginas,adulto,artes,autoajuda,aventura,biografia,comunicação,contos,crime,crônica,culinária,decoração,drama,economia,ensaios,entretenimento,erótico,fantasia,ficção,filosofia,história,infantil,infantojuvenil,brasileira,estrangeira,matemática,memórias,música,não-ficção,poesias,policial,política,psicologia,religião,romance,saúde,sexo,sociologia,suspense,terror,viagens,gender,ratingcurrent,resenhas,abandonos,relendo,querem_ler,lendo,leram,favoritos,desejados,trocam,avaliaram
Talvez Agora,2020,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.2,111,3,2,2.027,41,631,74,530,1,533
Guia de alimentação e cuidado de um buraco negro de estimação,2020,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.6,5,0,0,195,2,5,3,42,0,20
Fada-na-fila-de-espera,2020,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.1,5,0,0,82,0,13,6,20,0,24
Box Corte de Espinhos e Rosas 4 Volumes (Acompanha Brindes),2020,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,5.0,0,1,0,28,2,9,3,7,0,9
Casa de Terra e Sangue,2020,896,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.7,778,57,13,10.025,980,4.409,1.381,1.473,4,3.905
Artemis Fowl: O menino prodígio do crime,2020,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.9,143,305,8,2.398,125,9.096,609,586,110,4.879
Reino de Cinzas,2020,936,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.8,930,38,21,8.373,794,10.085,3.511,1.905,4,8.132
Meninas Selvagens,2020,320,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,F,3.2,201,38,0,4.323,136,895,32,706,6,835
Princesa Mecânica,2020,433,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.7,805,113,43,25.276,583,25.057,7.593,5.720,21,15.264
Meninas selvagens,2020,320,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,F,3.2,201,38,0,4.323,136,895,32,706,6,835
Você tem a vida inteira,2020,304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.4,98,6,1,2.561,33,840,174,556,4,764
Corrente de Ouro,2020,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.7,221,4,4,4.213,220,1.478,431,597,2,1.314
Êxtase,2020,346,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.1,416,655,38,69.796,788,30.671,3.284,3.794,321,14.947
A Rainha do Nada,2020,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.7,35,0,0,93,6,197,58,14,0,179
Casa De Terra E Sangue (vol. 1 Cidade Da Lua Crescente),2020,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,5.0,0,0,0,0,1,0,0,0,0,2
O ódio que você semeia,2020,378,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.7,1.041,138,13,27.803,944,13.554,3.831,4.530,14,10.218
Se não fosse você,2020,400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.2,143,3,1,2.778,44,827,97,642,1,737
Corte de Espinhos e Rosas,2020,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.3,3.379,544,223,38.945,3.531,52.037,9.866,7.080,77,35.561
Corte de Névoa e Fúria,2020,658,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.8,2.729,254,177,24.463,2.243,42.082,14.628,5.143,27,29.434
Corte de Asas e Ruína,2020,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.7,2.031,198,116,21.778,2.479,34.052,8.960,4.306,17,23.818
Corte de Gelo e Estrelas,2020,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.1,1.355,113,27,15.250,959,20.212,2.340,2.950,14,14.472
A mão que te alimenta,2019,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,F,3.5,107,12,0,2.214,21,756,19,441,6,684
Rainha do Ar e da Escuridão,2019,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.5,286,36,6,6.196,404,4.129,930,1.476,4,3.269
O destino dos deuses,2019,322,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.7,6,0,0,101,1,14,4,40,1,19
Crianças do Éden,2019,266,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.6,14,8,0,1.235,9,108,10,223,7,98
Cinderela Pop,2019,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.1,230,31,30,4.693,164,11.424,1.408,1.829,112,7.069
"Através do sangue, através do fogo",2019,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.4,0,0,0,98,1,66,9,14,1,55
Nunca Jamais,2019,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,F,3.4,222,5,1,2.285,21,1.999,68,469,5,1.544
A Fada Mamãe e Eu,2019,176,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.0,44,1,3,243,5,170,18,78,2,158
BTS: A biografia não oficial dos ícones do K-Pop,2019,210,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.3,6,0,1,204,18,83,12,31,1,63
A Torre de Ouro,2019,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.1,63,1,0,1.307,23,692,84,285,4,551
36 perguntas que mudaram o que sinto por você,2019,335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.8,88,23,1,1.922,47,686,48,335,6,585
À Beira da Eternidade,2019,322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,F,3.9,38,2,0,1.220,10,225,14,230,5,191
Impostores,2019,352,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.2,23,1,0,673,8,88,8,121,8,95
Especial,2019,224,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,F,3.5,74,15,0,1.594,36,486,29,253,16,422
Quando Não Há Palavras,2019,304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.2,48,9,0,745,19,408,54,197,2,377
Confidências de Uma Ex-Popular,2019,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.3,99,10,0,1.900,29,760,115,388,6,656
Refugiados,2019,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.4,4,0,0,656,5,36,5,87,2,33
Você Sabe Onde Me Encontrar,2019,208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,2.6,12,1,0,863,12,54,3,79,8,48
Na Hora da Virada,2019,378,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.4,106,4,0,2.413,45,812,136,462,3,739
Todas as Suas (Im)Perfeições,2019,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.5,1.140,70,5,10.118,329,8.039,1.805,2.090,3,6.909
Mortos Não Contam Segredos,2019,400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,F,4.1,188,21,1,4.769,80,1.532,140,1.026,6,1.258
Fantasmas do Mercado das Sombras,2019,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.6,148,3,1,3.113,155,1.291,281,772,5,1.067
Cidade das Almas Perdidas e Cidade do Fogo Celestial,2019,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.6,5,0,1,251,11,99,27,200,1,89
As Três Partes de Grace,2019,322,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.5,232,7,0,3.543,63,1.053,244,772,3,946
World of Warcraft - Antes da Tempestade,2019,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,4.3,0,0,0,58,1,14,1,15,1,16
Império de Tempestades - Tomo Único,2019,658,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.7,370,9,10,3.350,327,3.896,934,678,1,3.227
As Quatro Rainhas Mortas,2019,392,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.1,335,69,0,6.824,241,2.055,233,1.116,6,1.808
Algum Dia,2019,266,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.7,72,10,0,1.991,52,511,48,494,2,424
Use A Moda A Seu Favor,2019,160,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.4,3,0,0,418,8,18,8,39,1,28
Mais classificados e nem tanto,2019,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,F,4.2,0,1,0,2,0,3,1,2,1,6
Os Pergaminhos Vermelhos da Magia,2019,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.4,206,16,0,3.948,156,1.384,265,673,4,1.168
O Amor Não é Obvio,2019,392,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.4,198,24,3,3.378,117,1.267,269,512,5,1.081
Trono de Vidro,2019,392,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.4,2.241,420,156,34.282,2.263,40.241,7.456,6.385,85,26.932
Confidências de uma ex-popular,2019,430,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.9,2,0,0,1,1,2,2,1,0,4
Cidade dos Anjos Caídos,2019,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.2,552,431,80,93.123,1.221,49.879,5.654,6.042,230,25.228
Cidade das Almas Perdidas,2019,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.4,443,281,72,27.749,1.001,40.551,5.561,5.112,122,20.796
Cidade de Vidro,2018,476,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.5,858,519,95,92.072,1.273,62.821,10.110,6.185,348,32.771
Cidade das Cinzas,2018,448,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.2,977,801,123,88.432,1.963,70.764,7.908,5.999,628,37.275
Cidade do Fogo Celestial,2018,532,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.6,480,226,60,22.128,1.005,32.230,6.361,4.139,98,17.010
Harry Potter - O Livro das Varinhas,2018,154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.4,2,0,0,343,18,116,18,122,1,74
É Assim Que Acaba,2018,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.7,2.197,105,24,20.271,639,22.998,6.809,4.065,14,17.139
Um de Nós Está Mentindo,2018,384,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,F,4.0,962,256,9,18.088,739,12.375,1.026,3.273,43,8.795
A Garota Que Bebeu a Lua,2018,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.1,128,31,1,2.815,126,1.101,186,821,3,963
Renascer,2018,256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.4,10,2,0,339,7,136,5,97,3,103
A Tentação,2018,256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.8,14,2,0,469,5,265,16,145,1,176
A Colisão dos Mundos,2018,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.0,1,2,0,131,2,20,4,48,1,22
A Falta Que Me Faz,2018,272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.5,9,0,0,212,4,209,33,87,1,153
A Gaiola Dourada,2018,336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.4,21,4,1,545,4,101,7,172,6,86
Frio Congelante,2018,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.2,9,1,0,79,1,69,6,21,2,59
Sorte Grande,2018,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.7,40,10,0,799,27,528,31,281,8,404
O Tipo Certo de Garota Errada,2018,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.3,40,2,1,548,9,489,108,137,3,401
Liberdade,2018,336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,F,4.0,6,1,0,73,3,28,2,29,1,26
As Cartas Que Escrevemos,2018,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.7,83,1,1,671,7,914,48,181,1,754
13 Segundos,2018,304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.8,363,116,5,4.956,135,4.925,619,1.535,54,4.155
Heroínas,2018,256,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.0,66,19,0,1.277,33,694,74,456,9,578
Merlin. O Espelho do Destino - Volume 4,2018,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.0,2,0,0,95,2,18,3,26,1,17
Doce Reencontro,2018,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.9,1,0,0,58,1,46,9,14,0,39
O Diário de uma Pestinha,2018,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.9,0,0,0,1,1,3,0,5,1,6
Tarde Demais,2018,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.8,563,124,7,6.846,270,7.168,794,1.812,29,5.707
Você Tem a Vida Inteira,2018,288,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.4,98,6,1,2.561,33,840,174,556,4,764
Filho do Amanhecer (Son of the Dawn),2018,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.3,3,1,0,192,0,142,20,36,1,121
A Construção de Noah Shaw,2018,294,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.7,17,0,0,808,25,226,33,259,2,198
Longas Sombras,2018,71,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.2,13,3,0,154,1,111,23,29,1,135
O Guia do Cavalheiro Para o Vício e a Virtude,2018,434,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.1,139,60,0,2.165,131,1.439,205,573,3,1.290
Bruxa Akata,2018,322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.1,63,7,0,1.563,27,403,46,449,6,345
Além das cores,2018,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.7,6,0,0,85,3,142,15,10,0,121
Todas as Coisas Extraordinárias,2018,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,F,4.3,5,0,0,118,0,116,25,23,0,94
O Mistério do Relógio na Parede,2018,192,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,F,3.6,18,5,1,436,20,730,35,98,10,436
50 Brasileiras Incríveis Para Conhecer Antes de Crescer,2018,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,F,4.5,3,0,2,698,21,102,18,278,0,71
A Poeta X,2018,322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,F,4.5,69,4,1,838,21,578,163,231,2,513
O Príncipe Cruel,2018,322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.3,1.675,183,26,16.344,1.095,15.167,2.103,2.973,11,12.221
Arte & Alma,2018,308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.4,124,1,2,1.486,30,1.361,334,569,4,1.174
Aprendendo sobre perdas,2018,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.1,4,0,0,115,2,83,13,25,1,77
Diário de Uma Ansiosa ou Como Parei de Me Sabotar,2018,192,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.1,110,15,1,1.981,90,1.033,115,436,11,840
Sob a Capa Vermelha,2018,362,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.7,20,10,1,1.216,12,137,17,272,1,122
As Mil Partes do Meu Coração,2018,336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.3,802,59,6,6.952,208,9.154,1.476,1.667,15,7.467
Um amor mais profundo,2018,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.4,1,0,0,110,3,77,19,25,1,72
Choque de Cultura - 79 Filmes Pra Assistir Enquanto Dirige,2018,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.2,30,7,1,368,78,637,67,89,2,467
O que é um homem? (Vol. 1 Que legal pensar!),2018,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2.7,0,0,0,1,0,1,0,4,0,3
Os Perversos,2018,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.0,1,0,0,95,2,63,7,24,0,63
Preso em Battle Royale: Batalha nos Campos Fatais,2018,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,5.0,0,0,0,1,0,0,0,1,0,1
Bom Ano,2018,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.9,37,1,0,511,4,619,31,135,1,522
A Terra que Perdi,2018,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.8,3,0,0,90,0,75,25,15,0,74
Diários do Vampiro,2017,192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.7,3,1,0,140,4,88,16,72,3,65
A Festa dos Sonhos,2017,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.2,5,1,0,134,8,84,10,45,2,74
The Walking Dead,2017,294,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.8,12,8,0,3.273,41,392,44,340,2,256
